invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,total_sales
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,2021-07-23,2400.68
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,2022-09-18,143.36
I156413,C103824,Male,34,Cosmetics,5,203.3,Debit Card,2022-01-20,1016.5
I158683,C126571,Female,33,Souvenir,2,23.46,Debit Card,2022-07-31,46.92
I133278,C301271,Male,22,Clothing,3,900.24,Credit Card,2021-02-24,2700.7200000000003
I252084,C221995,Male,50,Souvenir,4,46.92,Cash,2021-05-25,187.68
I182889,C318802,Male,49,Clothing,2,600.16,Credit Card,2021-03-22,1200.32
I235828,C267333,Male,21,Books,5,75.75,Cash,2021-12-14,378.75
I943072,C358486,Female,52,Cosmetics,2,81.32,Cash,2022-02-03,162.64
I216982,C269751,Female,48,Souvenir,4,46.92,Cash,2023-01-02,187.68
I183571,C339518,Female,31,Food & Beverage,1,5.23,Credit Card,2022-02-07,5.23
I130799,C103944,Male,42,Clothing,3,900.24,Credit Card,2021-06-30,2700.7200000000003
I320007,C294024,Male,45,Clothing,5,1500.4,Debit Card,2021-10-18,7502.0
I122118,C276111,Male,38,Cosmetics,5,203.3,Cash,2022-11-15,1016.5
I615452,C453635,Male,26,Shoes,1,600.17,Debit Card,2022-03-06,600.17
I328691,C280085,Female,66,Clothing,2,600.16,Debit Card,2022-07-31,1200.32
I959992,C241523,Male,55,Food & Beverage,3,15.69,Cash,2022-07-01,47.07
I155404,C100484,Male,48,Toys,4,143.36,Cash,2022-09-19,573.44
I120850,C204307,Female,54,Clothing,2,600.16,Credit Card,2021-11-08,1200.32
I232809,C545424,Male,66,Shoes,5,3000.85,Credit Card,2021-10-02,15004.25
I591015,C286181,Female,69,Clothing,1,300.08,Cash,2021-09-12,300.08
I214129,C309079,Female,36,Clothing,1,300.08,Debit Card,2021-05-10,300.08
I306136,C324783,Male,26,Food & Beverage,1,5.23,Cash,2022-10-18,5.23
I107255,C211354,Female,63,Souvenir,1,11.73,Cash,2021-09-08,11.73
I131076,C403983,Female,23,Souvenir,2,23.46,Cash,2021-03-27,46.92
I995914,C259260,Male,65,Technology,3,3150.0,Credit Card,2021-11-22,9450.0
I423124,C109593,Female,66,Clothing,1,300.08,Cash,2023-01-07,300.08
I307376,C253248,Female,22,Food & Beverage,5,26.15,Credit Card,2022-08-11,130.75
I472275,C203263,Female,43,Cosmetics,4,162.64,Cash,2022-11-14,650.56
I154122,C164662,Female,69,Cosmetics,1,40.66,Debit Card,2021-12-22,40.66
I253083,C240688,Female,46,Clothing,2,600.16,Debit Card,2021-11-14,1200.32
I337030,C994327,Male,65,Food & Beverage,2,10.46,Cash,2022-09-27,20.92
I197620,C249092,Male,26,Food & Beverage,2,10.46,Cash,2022-04-08,20.92
I730771,C432132,Male,23,Clothing,5,1500.4,Debit Card,2022-08-05,7502.0
I873382,C289802,Female,54,Shoes,4,2400.68,Credit Card,2023-01-07,9602.72
I328822,C230641,Male,51,Food & Beverage,3,15.69,Cash,2022-06-13,47.07
I168181,C805154,Male,22,Clothing,3,900.24,Credit Card,2021-07-01,2700.7200000000003
I221797,C272779,Female,49,Food & Beverage,3,15.69,Cash,2021-08-24,47.07
I140596,C291641,Female,18,Cosmetics,2,81.32,Cash,2021-09-11,162.64
I384332,C226218,Female,69,Cosmetics,1,40.66,Cash,2021-09-04,40.66
I214007,C119440,Male,38,Toys,4,143.36,Credit Card,2022-03-25,573.44
I512570,C834257,Female,59,Souvenir,4,46.92,Cash,2022-11-24,187.68
I313516,C892871,Male,55,Books,4,60.6,Cash,2021-03-29,242.4
I223795,C280596,Male,40,Clothing,3,900.24,Cash,2022-12-26,2700.7200000000003
I300520,C282107,Female,36,Books,3,45.45,Credit Card,2023-02-02,136.35000000000002
I242648,C269986,Male,39,Food & Beverage,1,5.23,Cash,2022-06-22,5.23
I299480,C167158,Male,44,Shoes,2,1200.34,Credit Card,2022-12-09,2400.68
I135134,C130016,Female,51,Cosmetics,1,40.66,Credit Card,2021-03-01,40.66
I326582,C241450,Female,35,Clothing,3,900.24,Credit Card,2021-11-09,2700.7200000000003
I437948,C141984,Male,26,Food & Beverage,5,26.15,Cash,2022-08-22,130.75
I164873,C122094,Female,19,Books,4,60.6,Credit Card,2022-05-19,242.4
I325555,C162986,Male,21,Technology,4,4200.0,Credit Card,2023-01-30,16800.0
I156562,C209210,Female,23,Cosmetics,4,162.64,Credit Card,2022-07-16,650.56
I296251,C195342,Female,63,Cosmetics,2,81.32,Cash,2022-06-17,162.64
I891465,C175833,Female,19,Clothing,1,300.08,Cash,2022-07-21,300.08
I563052,C246602,Female,53,Cosmetics,4,162.64,Cash,2021-07-28,650.56
I277462,C709370,Male,33,Clothing,2,600.16,Cash,2021-09-22,1200.32
I610847,C322689,Female,29,Clothing,4,1200.32,Cash,2023-02-06,4801.28
I295181,C146203,Female,43,Food & Beverage,2,10.46,Credit Card,2022-11-17,20.92
I198308,C611809,Female,36,Food & Beverage,5,26.15,Credit Card,2021-10-11,130.75
I180570,C210236,Female,59,Shoes,5,3000.85,Cash,2021-03-06,15004.25
I173288,C264687,Female,52,Food & Beverage,5,26.15,Credit Card,2023-01-25,130.75
I279088,C140543,Male,60,Technology,3,3150.0,Credit Card,2021-07-30,9450.0
I318282,C121510,Male,63,Souvenir,2,23.46,Credit Card,2021-01-12,46.92
I212833,C331382,Male,64,Cosmetics,2,81.32,Cash,2021-04-29,162.64
I191531,C506663,Male,31,Shoes,3,1800.51,Cash,2022-12-20,5401.53
I165583,C235482,Female,54,Clothing,1,300.08,Credit Card,2023-02-08,300.08
I210803,C781893,Male,19,Clothing,4,1200.32,Credit Card,2022-09-17,4801.28
I209258,C328444,Male,68,Cosmetics,5,203.3,Cash,2022-07-07,1016.5
I190006,C230120,Male,39,Cosmetics,1,40.66,Debit Card,2021-09-13,40.66
I187453,C690345,Female,42,Shoes,3,1800.51,Cash,2023-01-29,5401.53
I323478,C216456,Female,41,Food & Beverage,2,10.46,Cash,2022-11-24,20.92
I251184,C259884,Male,58,Cosmetics,5,203.3,Credit Card,2021-12-03,1016.5
I112845,C323307,Male,69,Cosmetics,5,203.3,Cash,2021-10-13,1016.5
I158003,C104350,Female,46,Clothing,2,600.16,Cash,2021-02-20,1200.32
I255698,C207443,Female,65,Shoes,4,2400.68,Cash,2022-10-28,9602.72
I561353,C152904,Female,58,Toys,3,107.52,Cash,2022-11-10,322.56
I101472,C216194,Female,45,Clothing,4,1200.32,Cash,2021-07-06,4801.28
I143755,C621747,Female,25,Souvenir,4,46.92,Debit Card,2021-06-16,187.68
I121934,C376889,Female,22,Technology,1,1050.0,Cash,2022-10-07,1050.0
I310335,C293191,Female,54,Clothing,4,1200.32,Debit Card,2022-03-08,4801.28
I925190,C248510,Male,58,Clothing,5,1500.4,Cash,2021-02-04,7502.0
I126253,C732384,Male,24,Clothing,5,1500.4,Debit Card,2021-02-02,7502.0
I170920,C103741,Female,60,Food & Beverage,3,15.69,Cash,2021-12-17,47.07
I377607,C274788,Male,69,Souvenir,5,58.65,Credit Card,2022-01-11,293.25
I128121,C193824,Female,67,Technology,4,4200.0,Cash,2022-01-17,16800.0
I274610,C391672,Male,61,Souvenir,3,35.19,Cash,2022-01-15,105.57
I326054,C198086,Female,36,Books,3,45.45,Cash,2021-09-02,136.35000000000002
I486233,C199664,Female,30,Clothing,3,900.24,Credit Card,2022-03-14,2700.7200000000003
I411189,C743273,Male,69,Food & Beverage,3,15.69,Credit Card,2021-02-08,47.07
I103131,C470346,Female,23,Toys,4,143.36,Cash,2022-03-22,573.44
I179619,C423734,Male,47,Toys,3,107.52,Cash,2022-10-11,322.56
I184289,C102301,Male,25,Toys,2,71.68,Credit Card,2022-09-18,143.36
I244311,C204727,Female,23,Cosmetics,1,40.66,Cash,2022-03-11,40.66
I259335,C153509,Female,42,Cosmetics,2,81.32,Cash,2022-02-17,162.64
I193430,C275695,Female,55,Clothing,4,1200.32,Credit Card,2021-05-12,4801.28
I160370,C102275,Male,41,Clothing,1,300.08,Credit Card,2022-02-07,300.08
I310984,C921649,Female,54,Cosmetics,2,81.32,Credit Card,2021-12-26,162.64
I140666,C494615,Male,33,Food & Beverage,3,15.69,Cash,2021-08-02,47.07
I695490,C206253,Female,27,Shoes,5,3000.85,Debit Card,2021-02-14,15004.25
I274783,C596756,Female,36,Clothing,1,300.08,Credit Card,2022-03-07,300.08
I258186,C251433,Female,56,Toys,4,143.36,Debit Card,2021-02-05,573.44
I338832,C324708,Female,28,Clothing,5,1500.4,Credit Card,2021-03-16,7502.0
I233553,C264659,Male,21,Cosmetics,3,121.98,Cash,2022-03-26,365.94
I107367,C773134,Male,42,Clothing,3,900.24,Cash,2021-01-21,2700.7200000000003
I240053,C433673,Male,50,Cosmetics,1,40.66,Credit Card,2022-05-22,40.66
I176867,C462416,Female,63,Clothing,2,600.16,Credit Card,2023-02-13,1200.32
I462596,C269497,Male,32,Food & Beverage,5,26.15,Debit Card,2022-05-25,130.75
I109766,C106066,Female,57,Food & Beverage,5,26.15,Cash,2022-11-06,130.75
I263787,C323464,Female,60,Food & Beverage,4,20.92,Cash,2021-10-14,83.68
I440435,C496516,Female,50,Food & Beverage,5,26.15,Cash,2021-09-02,130.75
I144412,C261316,Male,32,Cosmetics,1,40.66,Cash,2023-03-07,40.66
I257208,C168310,Female,31,Souvenir,3,35.19,Cash,2022-06-15,105.57
I634948,C228735,Female,50,Food & Beverage,3,15.69,Cash,2022-09-03,47.07
I264126,C158261,Male,21,Food & Beverage,2,10.46,Cash,2022-04-28,20.92
I140362,C102607,Male,38,Technology,2,2100.0,Debit Card,2021-10-24,4200.0
I617893,C808112,Male,65,Clothing,5,1500.4,Cash,2022-07-18,7502.0
I171352,C478668,Female,19,Clothing,5,1500.4,Credit Card,2021-10-13,7502.0
I339115,C678680,Male,69,Clothing,4,1200.32,Credit Card,2021-03-27,4801.28
I280459,C100299,Female,22,Books,1,15.15,Credit Card,2022-09-23,15.15
I331938,C864800,Male,24,Cosmetics,1,40.66,Debit Card,2022-07-14,40.66
I306370,C158827,Female,50,Shoes,4,2400.68,Credit Card,2023-01-19,9602.72
I894668,C253252,Male,52,Technology,1,1050.0,Credit Card,2022-09-12,1050.0
I163001,C592891,Male,56,Cosmetics,3,121.98,Cash,2021-06-19,365.94
I167097,C101074,Female,53,Clothing,2,600.16,Cash,2021-09-25,1200.32
I145120,C293612,Female,60,Clothing,4,1200.32,Debit Card,2023-02-04,4801.28
I399156,C285884,Female,42,Food & Beverage,1,5.23,Cash,2022-09-14,5.23
I998832,C257559,Male,23,Souvenir,2,23.46,Credit Card,2021-02-21,46.92
I304606,C316806,Male,64,Clothing,4,1200.32,Cash,2023-03-07,4801.28
I182260,C116531,Female,68,Food & Beverage,1,5.23,Cash,2021-04-18,5.23
I139323,C171015,Female,48,Cosmetics,1,40.66,Cash,2022-09-03,40.66
I192802,C290819,Female,39,Clothing,2,600.16,Cash,2022-03-25,1200.32
I592836,C277384,Female,31,Cosmetics,1,40.66,Cash,2022-06-18,40.66
I204421,C947516,Female,56,Cosmetics,5,203.3,Credit Card,2021-11-15,1016.5
I186346,C305734,Female,19,Shoes,2,1200.34,Credit Card,2021-01-21,2400.68
I168925,C136395,Female,59,Technology,3,3150.0,Debit Card,2022-05-01,9450.0
I124379,C898202,Male,63,Books,3,45.45,Credit Card,2021-10-15,136.35000000000002
I221646,C320598,Male,68,Clothing,1,300.08,Debit Card,2021-02-15,300.08
I110823,C334518,Female,47,Clothing,1,300.08,Credit Card,2022-04-03,300.08
I206043,C187608,Female,62,Clothing,1,300.08,Credit Card,2021-12-09,300.08
I140019,C467287,Female,24,Shoes,4,2400.68,Cash,2021-09-16,9602.72
I145354,C299514,Female,32,Clothing,5,1500.4,Debit Card,2021-12-29,7502.0
I980023,C120118,Male,55,Cosmetics,5,203.3,Credit Card,2023-01-20,1016.5
I178572,C287355,Male,43,Food & Beverage,1,5.23,Cash,2021-05-06,5.23
I162663,C502572,Male,35,Shoes,3,1800.51,Credit Card,2022-01-03,5401.53
I823227,C243037,Female,41,Clothing,4,1200.32,Cash,2022-05-27,4801.28
I283132,C185049,Female,30,Clothing,2,600.16,Credit Card,2022-03-02,1200.32
I205645,C310969,Female,22,Cosmetics,1,40.66,Cash,2022-06-13,40.66
I296120,C750093,Male,34,Clothing,2,600.16,Cash,2023-02-10,1200.32
I317106,C521028,Female,69,Toys,3,107.52,Credit Card,2022-09-27,322.56
I120038,C228472,Female,40,Clothing,4,1200.32,Cash,2021-10-25,4801.28
I780362,C271866,Male,39,Cosmetics,1,40.66,Debit Card,2021-06-12,40.66
I165544,C388552,Female,22,Food & Beverage,4,20.92,Credit Card,2021-04-04,83.68
I227550,C212483,Male,52,Toys,5,179.2,Cash,2022-12-12,896.0
I223232,C523660,Male,42,Clothing,1,300.08,Cash,2022-08-25,300.08
I175726,C130682,Female,37,Clothing,2,600.16,Cash,2021-07-16,1200.32
I420393,C170711,Male,19,Shoes,4,2400.68,Debit Card,2021-05-02,9602.72
I197681,C106311,Male,39,Clothing,2,600.16,Credit Card,2022-03-15,1200.32
I133290,C334601,Female,26,Clothing,5,1500.4,Cash,2023-01-08,7502.0
I140001,C260060,Female,33,Souvenir,4,46.92,Debit Card,2021-09-23,187.68
I340342,C295466,Male,55,Food & Beverage,1,5.23,Cash,2023-03-04,5.23
I143441,C194327,Female,48,Toys,4,143.36,Debit Card,2021-11-22,573.44
I205540,C232136,Male,24,Clothing,2,600.16,Credit Card,2021-06-02,1200.32
I336420,C858254,Male,33,Cosmetics,2,81.32,Cash,2022-04-24,162.64
I642158,C257213,Female,46,Clothing,4,1200.32,Credit Card,2021-07-05,4801.28
I136612,C182933,Male,30,Cosmetics,4,162.64,Debit Card,2022-02-03,650.56
I154160,C255639,Female,64,Cosmetics,1,40.66,Cash,2022-11-24,40.66
I757754,C104728,Female,18,Clothing,5,1500.4,Credit Card,2021-06-16,7502.0
I301174,C119219,Female,68,Shoes,2,1200.34,Credit Card,2023-01-15,2400.68
I320437,C866676,Male,22,Clothing,1,300.08,Credit Card,2022-02-19,300.08
I220277,C190660,Male,54,Books,4,60.6,Credit Card,2021-07-30,242.4
I332398,C986930,Female,63,Shoes,2,1200.34,Credit Card,2022-12-14,2400.68
I162777,C807680,Male,48,Food & Beverage,5,26.15,Cash,2022-05-16,130.75
I332029,C301181,Female,18,Shoes,3,1800.51,Credit Card,2022-04-03,5401.53
I263059,C123711,Male,19,Clothing,1,300.08,Credit Card,2022-06-17,300.08
I145411,C331387,Male,20,Toys,2,71.68,Debit Card,2021-04-25,143.36
I161637,C224991,Male,52,Cosmetics,4,162.64,Cash,2022-05-07,650.56
I310846,C240325,Female,41,Food & Beverage,1,5.23,Debit Card,2021-01-10,5.23
I266160,C118349,Male,22,Clothing,2,600.16,Credit Card,2021-05-21,1200.32
I264953,C133559,Male,37,Clothing,2,600.16,Credit Card,2022-03-15,1200.32
I961322,C140372,Female,60,Souvenir,1,11.73,Credit Card,2022-07-29,11.73
I123864,C121156,Male,68,Shoes,3,1800.51,Cash,2022-08-10,5401.53
I140531,C216013,Male,22,Shoes,3,1800.51,Credit Card,2021-03-05,5401.53
I598832,C222244,Male,26,Books,4,60.6,Cash,2022-04-18,242.4
I172473,C279849,Female,64,Clothing,5,1500.4,Cash,2022-07-30,7502.0
I113812,C463587,Male,68,Shoes,4,2400.68,Cash,2021-08-29,9602.72
I144157,C146738,Male,39,Toys,5,179.2,Cash,2022-09-22,896.0
I805520,C488994,Female,48,Cosmetics,4,162.64,Credit Card,2022-02-23,650.56
I233250,C303112,Female,55,Clothing,3,900.24,Cash,2021-12-10,2700.7200000000003
I203178,C268054,Female,61,Food & Beverage,5,26.15,Debit Card,2022-08-01,130.75
I284474,C126883,Male,60,Shoes,1,600.17,Credit Card,2021-10-12,600.17
I316383,C582855,Male,53,Food & Beverage,5,26.15,Cash,2021-08-30,130.75
I250414,C184459,Female,47,Clothing,2,600.16,Credit Card,2021-07-14,1200.32
I713230,C114902,Female,35,Clothing,1,300.08,Credit Card,2021-10-14,300.08
I890999,C310413,Female,19,Books,3,45.45,Cash,2022-02-06,136.35000000000002
I145372,C169406,Male,49,Clothing,1,300.08,Cash,2021-01-06,300.08
I221547,C476125,Female,55,Clothing,1,300.08,Credit Card,2021-07-17,300.08
I733066,C198180,Male,51,Cosmetics,3,121.98,Cash,2022-06-22,365.94
I156674,C226593,Male,26,Toys,3,107.52,Credit Card,2022-08-28,322.56
I130989,C148047,Female,69,Clothing,1,300.08,Credit Card,2022-08-27,300.08
I108567,C488263,Female,64,Clothing,1,300.08,Cash,2023-01-29,300.08
I292313,C252662,Female,18,Cosmetics,4,162.64,Cash,2022-07-31,650.56
I533515,C289993,Female,56,Toys,1,35.84,Credit Card,2021-09-27,35.84
I150364,C134039,Female,69,Food & Beverage,5,26.15,Credit Card,2023-01-29,130.75
I153775,C921087,Female,60,Shoes,2,1200.34,Credit Card,2021-09-12,2400.68
I380830,C484681,Male,63,Clothing,4,1200.32,Credit Card,2022-05-25,4801.28
I234104,C319696,Male,43,Cosmetics,1,40.66,Cash,2021-10-06,40.66
I797149,C225949,Female,28,Toys,5,179.2,Cash,2023-02-05,896.0
I213268,C136682,Female,63,Shoes,1,600.17,Cash,2021-06-24,600.17
I677787,C160706,Female,46,Clothing,5,1500.4,Credit Card,2022-06-26,7502.0
I159210,C901974,Male,22,Cosmetics,2,81.32,Cash,2021-09-07,162.64
I155338,C222040,Female,45,Food & Beverage,5,26.15,Debit Card,2021-09-15,130.75
I170927,C249994,Female,37,Cosmetics,3,121.98,Credit Card,2022-09-22,365.94
I250385,C312568,Female,43,Clothing,2,600.16,Cash,2022-04-01,1200.32
I245988,C151503,Female,61,Cosmetics,5,203.3,Credit Card,2022-08-28,1016.5
I285013,C424443,Male,31,Technology,2,2100.0,Credit Card,2021-02-27,4200.0
I224642,C581271,Male,46,Food & Beverage,4,20.92,Credit Card,2022-03-30,83.68
I187920,C475377,Female,44,Cosmetics,2,81.32,Debit Card,2022-10-01,162.64
I237041,C206443,Male,33,Shoes,5,3000.85,Cash,2022-09-06,15004.25
I267637,C771924,Female,39,Cosmetics,2,81.32,Credit Card,2022-10-15,162.64
I266070,C185774,Female,36,Cosmetics,2,81.32,Debit Card,2021-06-04,162.64
I197896,C227232,Male,53,Clothing,4,1200.32,Credit Card,2021-10-10,4801.28
I261996,C171987,Male,46,Food & Beverage,1,5.23,Credit Card,2021-03-10,5.23
I242047,C379931,Female,50,Clothing,1,300.08,Credit Card,2022-07-30,300.08
I173444,C422499,Male,39,Books,2,30.3,Cash,2023-03-05,60.6
I151138,C170925,Female,47,Souvenir,5,58.65,Cash,2021-03-05,293.25
I431780,C111981,Male,47,Cosmetics,5,203.3,Credit Card,2021-04-01,1016.5
I862119,C709743,Female,50,Food & Beverage,5,26.15,Cash,2022-01-27,130.75
I160076,C550185,Male,47,Clothing,3,900.24,Cash,2022-01-30,2700.7200000000003
I825155,C255999,Female,68,Clothing,2,600.16,Credit Card,2021-02-12,1200.32
I323718,C102567,Male,29,Clothing,1,300.08,Cash,2021-05-12,300.08
I230057,C882218,Male,51,Cosmetics,5,203.3,Credit Card,2021-05-14,1016.5
I129050,C255079,Female,53,Technology,3,3150.0,Cash,2022-01-07,9450.0
I810843,C179024,Female,41,Clothing,4,1200.32,Cash,2021-01-02,4801.28
I574237,C255835,Male,35,Toys,3,107.52,Debit Card,2021-07-07,322.56
I265839,C128031,Female,34,Clothing,4,1200.32,Debit Card,2021-10-17,4801.28
I750563,C174194,Female,34,Food & Beverage,3,15.69,Credit Card,2021-10-18,47.07
I190799,C108828,Male,37,Clothing,2,600.16,Credit Card,2021-03-21,1200.32
I309833,C330352,Female,26,Cosmetics,3,121.98,Cash,2022-05-22,365.94
I277194,C207954,Female,67,Souvenir,4,46.92,Debit Card,2021-01-30,187.68
I311320,C289977,Male,18,Toys,5,179.2,Debit Card,2022-06-30,896.0
I325531,C273903,Female,48,Books,2,30.3,Credit Card,2021-02-24,60.6
I207003,C294773,Female,66,Clothing,1,300.08,Debit Card,2021-06-15,300.08
I108125,C204887,Female,44,Souvenir,5,58.65,Cash,2021-03-13,293.25
I983925,C198062,Male,36,Cosmetics,3,121.98,Cash,2023-01-09,365.94
I299483,C267617,Male,38,Clothing,2,600.16,Cash,2022-06-20,1200.32
I143821,C327130,Female,67,Cosmetics,1,40.66,Credit Card,2021-12-04,40.66
I271880,C159246,Female,58,Toys,5,179.2,Cash,2022-12-10,896.0
I148577,C952467,Female,37,Shoes,5,3000.85,Cash,2023-01-05,15004.25
I249148,C902190,Female,19,Clothing,4,1200.32,Cash,2022-09-20,4801.28
I273172,C900938,Female,42,Technology,2,2100.0,Cash,2022-12-18,4200.0
I682173,C237684,Female,54,Cosmetics,3,121.98,Credit Card,2021-04-26,365.94
I555520,C225939,Female,60,Cosmetics,5,203.3,Credit Card,2021-04-29,1016.5
I402236,C720198,Female,41,Food & Beverage,1,5.23,Cash,2022-07-08,5.23
I156396,C182595,Female,36,Food & Beverage,2,10.46,Cash,2021-04-06,20.92
I128626,C179309,Male,37,Food & Beverage,4,20.92,Cash,2021-03-02,83.68
I136331,C809737,Male,26,Clothing,5,1500.4,Debit Card,2022-07-05,7502.0
I806714,C241751,Female,32,Clothing,4,1200.32,Debit Card,2022-12-09,4801.28
I498086,C329954,Male,43,Souvenir,1,11.73,Cash,2021-02-13,11.73
I733046,C227728,Female,69,Clothing,2,600.16,Debit Card,2021-11-16,1200.32
I173395,C249924,Male,40,Clothing,2,600.16,Credit Card,2022-06-28,1200.32
I165693,C412367,Male,60,Food & Beverage,5,26.15,Cash,2021-05-16,130.75
I153262,C151884,Female,56,Clothing,2,600.16,Credit Card,2023-03-07,1200.32
I130929,C158397,Male,44,Cosmetics,1,40.66,Credit Card,2022-09-20,40.66
I239588,C548682,Female,35,Shoes,5,3000.85,Cash,2022-10-25,15004.25
I232549,C291989,Female,50,Food & Beverage,4,20.92,Cash,2021-10-05,83.68
I893324,C277406,Female,30,Cosmetics,1,40.66,Credit Card,2021-03-29,40.66
I606143,C210635,Male,46,Clothing,4,1200.32,Credit Card,2022-06-08,4801.28
I112416,C311790,Female,49,Technology,4,4200.0,Credit Card,2022-11-16,16800.0
I192573,C882059,Female,29,Cosmetics,3,121.98,Debit Card,2021-12-28,365.94
I233105,C246654,Male,47,Souvenir,2,23.46,Cash,2021-10-05,46.92
I282122,C135091,Female,65,Clothing,4,1200.32,Cash,2022-09-08,4801.28
I237267,C310712,Male,49,Cosmetics,2,81.32,Debit Card,2021-08-21,162.64
I311897,C146616,Female,19,Shoes,4,2400.68,Credit Card,2022-04-24,9602.72
I256045,C164068,Male,49,Clothing,2,600.16,Cash,2021-12-13,1200.32
I272016,C251866,Male,69,Food & Beverage,5,26.15,Cash,2021-06-22,130.75
I148903,C132867,Female,19,Toys,5,179.2,Debit Card,2021-07-06,896.0
I769237,C254306,Male,43,Shoes,5,3000.85,Cash,2022-07-21,15004.25
I412880,C210554,Male,38,Shoes,1,600.17,Cash,2021-03-16,600.17
I205330,C197519,Female,41,Food & Beverage,1,5.23,Cash,2022-01-23,5.23
I179204,C822041,Female,59,Clothing,2,600.16,Credit Card,2022-07-04,1200.32
I116542,C123966,Male,59,Toys,1,35.84,Cash,2022-03-07,35.84
I784209,C312061,Female,33,Cosmetics,3,121.98,Credit Card,2021-11-17,365.94
I333609,C284405,Male,35,Food & Beverage,3,15.69,Credit Card,2022-12-31,47.07
I182236,C162000,Female,24,Shoes,3,1800.51,Credit Card,2021-12-29,5401.53
I107778,C291265,Female,55,Shoes,2,1200.34,Cash,2021-08-06,2400.68
I939220,C171854,Female,42,Souvenir,1,11.73,Cash,2021-06-09,11.73
I474169,C193737,Male,50,Souvenir,1,11.73,Cash,2021-11-24,11.73
I172756,C154623,Female,33,Food & Beverage,5,26.15,Credit Card,2022-05-26,130.75
I331013,C161698,Male,21,Books,1,15.15,Cash,2022-04-12,15.15
I829630,C146584,Male,60,Food & Beverage,1,5.23,Credit Card,2021-10-28,5.23
I952267,C179660,Female,18,Cosmetics,5,203.3,Cash,2022-07-06,1016.5
I187434,C177914,Female,58,Food & Beverage,5,26.15,Cash,2022-09-21,130.75
I250140,C249901,Female,52,Food & Beverage,4,20.92,Cash,2022-03-23,83.68
I184787,C302491,Male,37,Food & Beverage,3,15.69,Cash,2022-08-22,47.07
I142757,C308224,Female,36,Toys,3,107.52,Cash,2023-02-23,322.56
I252950,C279295,Female,59,Food & Beverage,3,15.69,Credit Card,2022-05-08,47.07
I309668,C313082,Male,53,Toys,4,143.36,Credit Card,2021-08-27,573.44
I288819,C203231,Female,40,Souvenir,4,46.92,Cash,2022-07-23,187.68
I245614,C142947,Male,34,Books,5,75.75,Cash,2022-01-20,378.75
I189159,C263130,Female,57,Clothing,2,600.16,Credit Card,2022-04-20,1200.32
I426443,C109632,Female,29,Clothing,5,1500.4,Credit Card,2021-06-06,7502.0
I250095,C140031,Male,32,Clothing,2,600.16,Cash,2023-02-04,1200.32
