invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,total_sales
I763903,C113451,Female,58,Clothing,2,600.16,Debit Card,2021-07-25,1200.32
I296279,C298580,Male,59,Souvenir,1,11.73,Credit Card,2021-01-11,11.73
I135969,C144442,Female,26,Clothing,5,1500.4,Cash,2021-02-15,7502.0
I288293,C323229,Female,42,Clothing,2,600.16,Cash,2021-12-21,1200.32
I645871,C578468,Female,22,Cosmetics,4,162.64,Cash,2023-02-02,650.56
I400039,C719499,Female,65,Clothing,3,900.24,Debit Card,2021-05-17,2700.7200000000003
I221408,C274690,Male,36,Clothing,1,300.08,Credit Card,2022-01-28,300.08
I318091,C121400,Female,50,Cosmetics,3,121.98,Credit Card,2022-02-12,365.94
I259898,C926896,Female,22,Clothing,2,600.16,Debit Card,2022-04-03,1200.32
I203426,C278450,Male,47,Clothing,5,1500.4,Credit Card,2021-09-20,7502.0
I258245,C663051,Female,59,Cosmetics,5,203.3,Credit Card,2021-12-02,1016.5
I106060,C564791,Male,20,Toys,5,179.2,Cash,2022-02-27,896.0
I617812,C590389,Female,48,Cosmetics,1,40.66,Credit Card,2022-10-21,40.66
I323323,C223540,Female,63,Clothing,5,1500.4,Credit Card,2022-06-15,7502.0
I135368,C185251,Female,22,Toys,2,71.68,Debit Card,2022-08-23,143.36
I260572,C483736,Female,34,Cosmetics,1,40.66,Cash,2022-02-03,40.66
I260183,C333665,Male,22,Clothing,3,900.24,Credit Card,2022-10-26,2700.7200000000003
I232062,C525444,Female,36,Clothing,5,1500.4,Credit Card,2023-01-22,7502.0
I195905,C330332,Male,58,Clothing,4,1200.32,Credit Card,2021-05-10,4801.28
I688566,C660581,Female,54,Souvenir,4,46.92,Cash,2021-03-23,187.68
I162399,C134704,Female,19,Technology,2,2100.0,Cash,2022-08-08,4200.0
I258266,C615661,Male,35,Clothing,4,1200.32,Credit Card,2021-06-11,4801.28
I288329,C809681,Male,54,Cosmetics,3,121.98,Credit Card,2021-10-19,365.94
I136751,C174682,Female,38,Clothing,3,900.24,Credit Card,2021-12-04,2700.7200000000003
I270491,C266349,Female,33,Cosmetics,4,162.64,Cash,2021-04-16,650.56
I323790,C212937,Female,58,Shoes,5,3000.85,Credit Card,2021-10-16,15004.25
I295488,C137760,Male,32,Food & Beverage,2,10.46,Credit Card,2022-11-12,20.92
I258534,C922102,Male,44,Technology,5,5250.0,Credit Card,2022-05-05,26250.0
I149132,C309930,Male,39,Food & Beverage,5,26.15,Cash,2021-04-13,130.75
I964061,C336542,Female,18,Souvenir,3,35.19,Debit Card,2021-12-03,105.57
I182617,C155046,Female,21,Clothing,2,600.16,Credit Card,2021-12-06,1200.32
I174518,C230911,Male,45,Shoes,4,2400.68,Credit Card,2021-02-03,9602.72
I255537,C244132,Female,31,Clothing,5,1500.4,Cash,2021-07-05,7502.0
I239303,C209091,Female,63,Clothing,3,900.24,Debit Card,2021-07-25,2700.7200000000003
I102268,C298559,Female,47,Shoes,4,2400.68,Cash,2022-01-31,9602.72
I532584,C188819,Female,28,Clothing,3,900.24,Credit Card,2021-06-15,2700.7200000000003
I164233,C410490,Female,31,Clothing,5,1500.4,Debit Card,2022-12-02,7502.0
I317873,C535096,Female,49,Clothing,1,300.08,Credit Card,2023-01-27,300.08
I194098,C216386,Male,44,Books,5,75.75,Debit Card,2021-10-26,378.75
I233133,C561819,Female,19,Books,2,30.3,Credit Card,2021-01-18,60.6
I172841,C157938,Female,30,Clothing,1,300.08,Debit Card,2022-03-26,300.08
I329646,C110428,Female,42,Technology,5,5250.0,Credit Card,2021-10-19,26250.0
I289595,C206455,Female,63,Food & Beverage,1,5.23,Credit Card,2021-02-09,5.23
I944302,C102575,Female,48,Cosmetics,5,203.3,Cash,2022-08-11,1016.5
I187759,C140626,Male,39,Food & Beverage,1,5.23,Cash,2022-07-28,5.23
I747491,C927738,Female,55,Clothing,1,300.08,Credit Card,2022-01-23,300.08
I180909,C114698,Female,24,Shoes,4,2400.68,Credit Card,2023-02-26,9602.72
I308303,C741879,Female,36,Clothing,2,600.16,Credit Card,2022-12-20,1200.32
I187643,C112624,Male,62,Technology,5,5250.0,Credit Card,2022-10-16,26250.0
I111807,C248945,Female,38,Shoes,5,3000.85,Debit Card,2021-04-29,15004.25
I258991,C405956,Male,51,Food & Beverage,4,20.92,Cash,2021-07-09,83.68
I299435,C231573,Male,62,Clothing,5,1500.4,Debit Card,2021-08-21,7502.0
I320839,C686642,Male,18,Food & Beverage,3,15.69,Credit Card,2021-05-03,47.07
I167565,C759854,Female,38,Cosmetics,1,40.66,Cash,2023-03-08,40.66
I285823,C476444,Male,39,Shoes,5,3000.85,Cash,2021-03-13,15004.25
I141691,C213664,Male,55,Toys,4,143.36,Credit Card,2022-02-24,573.44
I225904,C769958,Female,22,Shoes,5,3000.85,Credit Card,2021-10-03,15004.25
I179430,C151575,Male,58,Books,3,45.45,Cash,2022-06-06,136.35000000000002
I125704,C176047,Male,23,Clothing,1,300.08,Credit Card,2023-02-15,300.08
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,2021-04-15,1200.32
I156757,C246289,Female,36,Cosmetics,5,203.3,Cash,2022-04-14,1016.5
I307338,C495855,Female,45,Shoes,2,1200.34,Credit Card,2021-08-24,2400.68
I197827,C257896,Male,67,Cosmetics,2,81.32,Credit Card,2021-02-21,162.64
I651177,C256119,Female,30,Food & Beverage,3,15.69,Cash,2021-02-03,47.07
I117193,C209486,Male,50,Clothing,4,1200.32,Debit Card,2021-03-14,4801.28
I276300,C941234,Male,20,Food & Beverage,5,26.15,Credit Card,2022-03-11,130.75
I241303,C855980,Female,25,Food & Beverage,4,20.92,Credit Card,2022-05-12,83.68
I824264,C176114,Male,53,Clothing,3,900.24,Cash,2022-06-22,2700.7200000000003
I106587,C630983,Male,27,Food & Beverage,4,20.92,Debit Card,2023-01-29,83.68
I232389,C130963,Female,44,Clothing,2,600.16,Debit Card,2023-03-04,1200.32
I132711,C594094,Female,35,Clothing,3,900.24,Credit Card,2022-03-17,2700.7200000000003
I255212,C178461,Female,61,Clothing,4,1200.32,Debit Card,2023-02-21,4801.28
I125236,C742295,Male,31,Shoes,1,600.17,Cash,2021-06-22,600.17
I338210,C944109,Female,40,Clothing,3,900.24,Cash,2022-12-04,2700.7200000000003
I141761,C203448,Female,64,Toys,5,179.2,Cash,2021-11-01,896.0
I215190,C327155,Female,59,Food & Beverage,4,20.92,Cash,2021-11-14,83.68
I962867,C207916,Male,29,Toys,5,179.2,Cash,2021-08-28,896.0
I265066,C253900,Male,53,Food & Beverage,2,10.46,Cash,2021-04-29,20.92
I275142,C309832,Male,32,Technology,2,2100.0,Debit Card,2022-01-20,4200.0
I202345,C267007,Female,48,Cosmetics,3,121.98,Cash,2022-09-17,365.94
I876594,C197040,Female,60,Clothing,1,300.08,Cash,2023-01-17,300.08
I882940,C275102,Female,49,Toys,3,107.52,Debit Card,2022-07-08,322.56
I318056,C937470,Female,67,Food & Beverage,4,20.92,Cash,2021-03-21,83.68
I142196,C193795,Male,69,Clothing,4,1200.32,Cash,2021-02-06,4801.28
I280250,C454329,Female,67,Clothing,4,1200.32,Cash,2022-12-02,4801.28
I117803,C493121,Female,55,Food & Beverage,2,10.46,Cash,2022-11-06,20.92
I313110,C138718,Female,28,Shoes,3,1800.51,Credit Card,2021-10-20,5401.53
I229027,C252447,Female,47,Cosmetics,4,162.64,Cash,2021-08-03,650.56
I299894,C104800,Male,41,Cosmetics,5,203.3,Debit Card,2021-06-27,1016.5
I162614,C813653,Male,24,Shoes,5,3000.85,Debit Card,2021-03-22,15004.25
I333684,C238297,Male,66,Toys,2,71.68,Credit Card,2021-07-21,143.36
I182240,C854603,Male,61,Clothing,5,1500.4,Cash,2022-03-24,7502.0
I260807,C250159,Female,45,Clothing,2,600.16,Credit Card,2023-02-04,1200.32
I334774,C213864,Male,38,Clothing,4,1200.32,Debit Card,2022-12-05,4801.28
I252070,C921524,Male,32,Cosmetics,5,203.3,Credit Card,2022-06-12,1016.5
I286200,C201284,Male,44,Shoes,4,2400.68,Cash,2021-07-31,9602.72
I171193,C808936,Male,62,Books,2,30.3,Cash,2022-02-26,60.6
I240970,C586610,Male,24,Food & Beverage,2,10.46,Debit Card,2022-04-14,20.92
I239492,C244362,Female,55,Shoes,2,1200.34,Cash,2022-03-13,2400.68
I149862,C251927,Female,65,Food & Beverage,4,20.92,Cash,2022-03-24,83.68
I278742,C250670,Male,63,Clothing,5,1500.4,Debit Card,2021-01-03,7502.0
I200469,C216714,Male,56,Books,1,15.15,Credit Card,2021-10-24,15.15
I210186,C296402,Female,54,Clothing,4,1200.32,Credit Card,2021-02-08,4801.28
I284378,C513101,Female,57,Clothing,1,300.08,Debit Card,2021-06-12,300.08
I919536,C365166,Male,68,Shoes,2,1200.34,Debit Card,2021-07-04,2400.68
I314355,C126815,Male,48,Souvenir,3,35.19,Cash,2021-07-09,105.57
I224078,C860512,Male,57,Books,2,30.3,Debit Card,2022-10-05,60.6
I332242,C269392,Female,28,Technology,3,3150.0,Cash,2021-03-20,9450.0
I331958,C316889,Male,61,Food & Beverage,1,5.23,Cash,2021-05-16,5.23
I293771,C313207,Male,25,Toys,3,107.52,Debit Card,2021-07-17,322.56
I495637,C306435,Female,53,Food & Beverage,4,20.92,Cash,2023-02-12,83.68
I239751,C797865,Female,59,Clothing,1,300.08,Debit Card,2022-10-19,300.08
I246989,C272145,Female,38,Clothing,3,900.24,Cash,2021-12-23,2700.7200000000003
I116014,C273447,Female,49,Cosmetics,1,40.66,Debit Card,2023-01-24,40.66
I273873,C143869,Female,25,Technology,1,1050.0,Credit Card,2023-02-23,1050.0
I822053,C270350,Male,39,Food & Beverage,5,26.15,Debit Card,2021-01-25,130.75
I220091,C238661,Female,38,Cosmetics,3,121.98,Debit Card,2021-02-20,365.94
I325809,C290305,Male,34,Toys,4,143.36,Credit Card,2021-09-25,573.44
I133262,C286126,Male,41,Souvenir,2,23.46,Cash,2022-01-09,46.92
I645281,C162724,Female,32,Toys,5,179.2,Cash,2022-03-26,896.0
I165916,C214373,Female,67,Books,2,30.3,Cash,2021-12-01,60.6
I308951,C109472,Male,59,Shoes,1,600.17,Cash,2022-02-25,600.17
I338622,C310438,Female,57,Food & Beverage,1,5.23,Credit Card,2022-02-20,5.23
I927315,C612261,Male,57,Toys,4,143.36,Cash,2022-04-23,573.44
I238200,C195462,Male,55,Food & Beverage,1,5.23,Cash,2021-11-24,5.23
I188687,C814259,Female,62,Cosmetics,4,162.64,Credit Card,2021-05-16,650.56
I315077,C796867,Female,33,Books,4,60.6,Cash,2021-11-15,242.4
I166110,C212950,Male,52,Clothing,2,600.16,Cash,2022-06-02,1200.32
I272486,C201303,Male,54,Food & Beverage,3,15.69,Cash,2023-01-27,47.07
I193976,C279812,Female,49,Clothing,3,900.24,Cash,2023-01-09,2700.7200000000003
I211015,C191659,Female,30,Souvenir,5,58.65,Cash,2021-07-19,293.25
I166657,C230867,Female,67,Toys,3,107.52,Credit Card,2021-12-21,322.56
I325366,C202728,Male,46,Clothing,5,1500.4,Credit Card,2021-12-21,7502.0
I193654,C338693,Female,45,Clothing,2,600.16,Credit Card,2022-08-11,1200.32
I251730,C641604,Female,40,Toys,1,35.84,Debit Card,2022-01-08,35.84
I340253,C122528,Male,59,Toys,2,71.68,Cash,2022-12-11,143.36
I295769,C690415,Male,35,Food & Beverage,1,5.23,Cash,2022-05-01,5.23
I228331,C231610,Male,34,Toys,1,35.84,Debit Card,2023-03-06,35.84
I142939,C245468,Female,47,Cosmetics,5,203.3,Cash,2022-11-07,1016.5
I129769,C135714,Male,37,Souvenir,3,35.19,Debit Card,2021-01-17,105.57
I424872,C239376,Male,38,Clothing,2,600.16,Debit Card,2023-03-01,1200.32
I313630,C153606,Female,46,Technology,1,1050.0,Cash,2022-05-08,1050.0
I124576,C597117,Female,39,Shoes,4,2400.68,Credit Card,2022-01-05,9602.72
I324620,C172566,Female,37,Shoes,2,1200.34,Credit Card,2022-06-15,2400.68
I292651,C315379,Female,50,Clothing,3,900.24,Cash,2022-01-20,2700.7200000000003
I105255,C869312,Female,19,Food & Beverage,4,20.92,Debit Card,2022-01-28,83.68
I205903,C143697,Female,37,Clothing,3,900.24,Cash,2021-09-11,2700.7200000000003
I953082,C275364,Male,34,Toys,1,35.84,Credit Card,2022-06-15,35.84
I333167,C283288,Female,25,Shoes,4,2400.68,Cash,2021-12-01,9602.72
I109161,C316956,Male,56,Food & Beverage,2,10.46,Cash,2022-05-31,20.92
I240455,C300575,Male,33,Cosmetics,4,162.64,Credit Card,2021-06-04,650.56
I178134,C231298,Male,41,Clothing,4,1200.32,Debit Card,2021-07-02,4801.28
I219678,C594535,Male,61,Cosmetics,3,121.98,Debit Card,2021-03-11,365.94
I124666,C906208,Female,69,Toys,2,71.68,Debit Card,2021-05-12,143.36
I498892,C163854,Female,37,Cosmetics,4,162.64,Cash,2021-05-23,650.56
I120780,C242189,Female,23,Books,5,75.75,Cash,2021-12-15,378.75
I200231,C333775,Female,65,Toys,5,179.2,Cash,2022-03-11,896.0
I355649,C336783,Female,57,Toys,2,71.68,Cash,2021-07-14,143.36
I135204,C198721,Male,20,Toys,2,71.68,Credit Card,2021-04-28,143.36
I731511,C112678,Male,20,Cosmetics,1,40.66,Credit Card,2021-02-06,40.66
I953811,C299119,Female,66,Clothing,4,1200.32,Credit Card,2022-12-29,4801.28
I177868,C528178,Male,48,Clothing,2,600.16,Debit Card,2022-10-11,1200.32
I260268,C518879,Male,47,Shoes,4,2400.68,Credit Card,2022-08-23,9602.72
I864398,C257500,Female,65,Technology,5,5250.0,Credit Card,2022-01-19,26250.0
I262087,C941937,Female,67,Shoes,2,1200.34,Credit Card,2023-01-22,2400.68
I143233,C171180,Male,65,Toys,5,179.2,Cash,2022-11-09,896.0
I326892,C322420,Male,46,Toys,1,35.84,Credit Card,2021-11-06,35.84
I710720,C611885,Male,41,Cosmetics,2,81.32,Credit Card,2022-05-28,162.64
I936915,C281211,Female,54,Clothing,3,900.24,Cash,2022-12-03,2700.7200000000003
I220613,C363663,Female,69,Clothing,1,300.08,Credit Card,2022-09-05,300.08
I283910,C272980,Female,40,Technology,3,3150.0,Debit Card,2022-11-05,9450.0
I256148,C144136,Female,49,Souvenir,3,35.19,Cash,2021-02-13,105.57
I445817,C255617,Male,30,Food & Beverage,3,15.69,Debit Card,2022-05-31,47.07
I298515,C289739,Female,49,Food & Beverage,4,20.92,Cash,2021-12-21,83.68
I753362,C106132,Male,67,Clothing,5,1500.4,Credit Card,2022-08-14,7502.0
I243186,C220188,Female,50,Food & Beverage,1,5.23,Credit Card,2021-12-06,5.23
I171104,C227616,Female,52,Shoes,2,1200.34,Cash,2021-06-15,2400.68
I199302,C247405,Female,53,Cosmetics,5,203.3,Debit Card,2022-04-14,1016.5
I153677,C121564,Female,68,Shoes,5,3000.85,Credit Card,2022-06-12,15004.25
I101525,C616099,Female,69,Clothing,3,900.24,Cash,2021-10-22,2700.7200000000003
I273875,C943404,Female,37,Cosmetics,5,203.3,Credit Card,2022-10-11,1016.5
I269022,C249132,Female,60,Shoes,4,2400.68,Credit Card,2022-07-05,9602.72
I205745,C820334,Female,29,Clothing,3,900.24,Credit Card,2022-05-19,2700.7200000000003
I847727,C167772,Female,36,Clothing,3,900.24,Credit Card,2022-08-21,2700.7200000000003
I118402,C503687,Female,22,Cosmetics,1,40.66,Cash,2021-08-23,40.66
I766080,C576410,Female,43,Food & Beverage,1,5.23,Credit Card,2022-06-14,5.23
I328955,C225944,Female,62,Food & Beverage,5,26.15,Cash,2021-06-02,130.75
I267665,C103773,Female,56,Toys,4,143.36,Credit Card,2023-02-19,573.44
I108939,C791949,Female,29,Clothing,2,600.16,Cash,2022-07-10,1200.32
I178513,C219366,Female,44,Shoes,4,2400.68,Cash,2022-05-03,9602.72
I199678,C127290,Female,35,Clothing,1,300.08,Cash,2021-09-22,300.08
I708039,C279513,Female,33,Cosmetics,4,162.64,Cash,2022-11-09,650.56
I202425,C141288,Female,37,Clothing,1,300.08,Cash,2021-06-27,300.08
I191365,C277101,Female,64,Food & Beverage,4,20.92,Credit Card,2021-08-28,83.68
I743449,C233022,Female,34,Food & Beverage,3,15.69,Debit Card,2022-11-23,47.07
I559391,C121799,Male,29,Toys,2,71.68,Debit Card,2022-10-15,143.36
I141343,C329522,Male,69,Clothing,3,900.24,Cash,2022-12-28,2700.7200000000003
I948767,C108894,Female,41,Cosmetics,1,40.66,Debit Card,2022-12-10,40.66
I985952,C147856,Female,54,Food & Beverage,5,26.15,Cash,2021-05-28,130.75
I156510,C242581,Female,36,Clothing,2,600.16,Credit Card,2021-05-13,1200.32
I126622,C336693,Male,35,Food & Beverage,5,26.15,Credit Card,2021-01-26,130.75
I225348,C334609,Female,26,Cosmetics,2,81.32,Cash,2022-12-12,162.64
I327495,C316258,Male,50,Clothing,1,300.08,Credit Card,2021-07-15,300.08
I294343,C292600,Male,20,Toys,2,71.68,Debit Card,2023-02-15,143.36
I165022,C362313,Female,25,Clothing,2,600.16,Cash,2021-04-16,1200.32
I241416,C297782,Female,46,Books,3,45.45,Credit Card,2021-03-21,136.35000000000002
I277739,C251257,Male,48,Clothing,1,300.08,Cash,2021-04-13,300.08
I168421,C644797,Female,51,Toys,3,107.52,Cash,2021-12-26,322.56
I469616,C394424,Male,57,Clothing,5,1500.4,Debit Card,2022-10-10,7502.0
I110133,C256926,Female,42,Shoes,5,3000.85,Cash,2022-11-23,15004.25
I144524,C287707,Female,21,Clothing,1,300.08,Credit Card,2023-02-10,300.08
I328883,C252599,Male,22,Clothing,3,900.24,Cash,2021-08-21,2700.7200000000003
I154566,C260821,Female,63,Cosmetics,5,203.3,Credit Card,2022-10-21,1016.5
I938672,C680386,Female,67,Toys,5,179.2,Credit Card,2021-12-22,896.0
I192193,C118627,Male,69,Clothing,5,1500.4,Cash,2021-01-10,7502.0
I492903,C311610,Male,21,Toys,2,71.68,Debit Card,2021-10-16,143.36
I121083,C697523,Female,42,Cosmetics,3,121.98,Cash,2021-03-02,365.94
I110804,C105807,Male,26,Toys,3,107.52,Debit Card,2023-01-03,322.56
I495331,C102085,Male,20,Souvenir,3,35.19,Cash,2021-10-20,105.57
I151540,C987575,Male,69,Clothing,3,900.24,Debit Card,2022-03-17,2700.7200000000003
I999023,C248973,Male,21,Clothing,5,1500.4,Credit Card,2021-03-11,7502.0
I132621,C804799,Female,36,Cosmetics,3,121.98,Credit Card,2022-04-20,365.94
I253873,C264158,Male,26,Books,1,15.15,Credit Card,2021-11-05,15.15
I275967,C160350,Female,57,Food & Beverage,2,10.46,Cash,2021-11-02,20.92
I211460,C308292,Male,35,Technology,5,5250.0,Credit Card,2022-07-27,26250.0
I748082,C300784,Male,34,Food & Beverage,3,15.69,Cash,2022-05-04,47.07
I240992,C262478,Male,35,Clothing,5,1500.4,Cash,2022-05-03,7502.0
I107963,C264785,Male,36,Food & Beverage,1,5.23,Credit Card,2022-04-18,5.23
I193690,C488844,Female,35,Clothing,5,1500.4,Cash,2022-02-16,7502.0
I145848,C985921,Male,34,Toys,1,35.84,Cash,2022-11-28,35.84
I283188,C103415,Male,56,Clothing,5,1500.4,Cash,2021-04-16,7502.0
I104737,C681572,Female,62,Food & Beverage,1,5.23,Credit Card,2022-01-15,5.23
I227639,C522380,Male,58,Toys,4,143.36,Credit Card,2022-09-06,573.44
I230034,C597073,Female,46,Food & Beverage,2,10.46,Debit Card,2022-04-24,20.92
I503078,C290200,Male,43,Toys,3,107.52,Debit Card,2021-12-14,322.56
I702847,C561247,Male,27,Technology,5,5250.0,Debit Card,2022-04-20,26250.0
I309865,C337971,Male,36,Clothing,2,600.16,Cash,2022-08-08,1200.32
I132394,C194257,Female,33,Clothing,4,1200.32,Debit Card,2021-11-21,4801.28
I288878,C385049,Male,50,Cosmetics,3,121.98,Debit Card,2023-02-01,365.94
I293537,C258467,Female,52,Toys,2,71.68,Cash,2022-12-18,143.36
I271749,C648746,Female,28,Toys,4,143.36,Debit Card,2022-05-07,573.44
I336180,C555111,Male,22,Toys,4,143.36,Cash,2021-06-18,573.44
I118213,C259617,Female,45,Clothing,3,900.24,Cash,2023-02-26,2700.7200000000003
I309770,C635537,Male,25,Food & Beverage,1,5.23,Credit Card,2022-10-08,5.23
I303177,C106376,Female,62,Clothing,2,600.16,Debit Card,2022-04-07,1200.32
I124729,C675137,Male,44,Clothing,5,1500.4,Credit Card,2022-12-30,7502.0
I250384,C272773,Female,63,Clothing,1,300.08,Credit Card,2021-07-03,300.08
I175320,C335307,Female,53,Clothing,3,900.24,Credit Card,2022-02-05,2700.7200000000003
I185069,C261273,Male,27,Clothing,1,300.08,Cash,2021-10-02,300.08
I321015,C248655,Female,41,Shoes,4,2400.68,Credit Card,2021-08-09,9602.72
I289510,C574711,Female,44,Clothing,1,300.08,Debit Card,2021-06-02,300.08
