invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,2021-12-12,Istinye Park,650.56
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,2021-08-21,Zorlu Center,4801.28
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,2021-10-08,Emaar Square Mall,47.07
I299820,C820515,Female,22,Books,3,45.45,Cash,2021-11-22,Kanyon,136.35000000000002
I157775,C331761,Male,48,Clothing,1,300.08,Cash,2022-03-19,Kanyon,300.08
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,2022-10-19,Istinye Park,293.25
I147334,C306395,Male,35,Clothing,2,600.16,Cash,2022-01-12,Viaport Outlet,1200.32
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,2021-06-07,Metrocity,573.44
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,2023-01-15,Forum Istanbul,300.08
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,2021-11-11,Kanyon,4801.28
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,2022-09-21,Istinye Park,1200.32
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,2021-05-30,Metrocity,650.56
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,2021-12-23,Metropol AVM,300.08
I164665,C255058,Female,64,Technology,2,2100.0,Cash,2022-04-30,Kanyon,4200.0
I133387,C271799,Female,60,Toys,4,143.36,Cash,2021-06-07,Forum Istanbul,573.44
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,2022-02-21,Kanyon,896.0
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,2021-08-26,Emaar Square Mall,2700.7200000000003
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,2021-12-15,Metrocity,130.75
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,2021-02-20,Mall of Istanbul,300.08
I219780,C658980,Female,29,Clothing,2,600.16,Cash,2021-10-08,Kanyon,1200.32
I160221,C319231,Male,25,Clothing,3,900.24,Cash,2022-08-01,Mall of Istanbul,2700.7200000000003
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,2021-09-09,Kanyon,4801.28
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,2021-10-25,Metrocity,130.75
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,2021-12-14,Metropol AVM,5.23
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,2021-06-20,Kanyon,7502.0
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,2021-04-07,Metropol AVM,300.08
I762439,C663463,Female,45,Books,4,60.6,Cash,2021-12-05,Metrocity,242.4
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,2021-05-25,Zorlu Center,40.66
I151588,C310642,Male,24,Books,3,45.45,Credit Card,2022-04-12,Metrocity,136.35000000000002
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,2021-12-16,Mall of Istanbul,4801.28
I122655,C989693,Female,32,Technology,2,2100.0,Credit Card,2021-02-21,Metropol AVM,4200.0
I236914,C123581,Female,28,Clothing,3,900.24,Cash,2021-10-26,Mall of Istanbul,2700.7200000000003
I247471,C192446,Female,22,Toys,1,35.84,Cash,2022-12-18,Mall of Istanbul,35.84
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,2022-09-19,Metrocity,300.08
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,2023-02-01,Kanyon,1200.32
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,2022-10-05,Mall of Istanbul,47.07
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,2021-11-28,Kanyon,162.64
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,2021-08-03,Kanyon,15004.25
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,2022-10-12,Metropol AVM,4801.28
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,2022-09-28,Kanyon,20.92
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,2021-07-12,Metrocity,47.07
I168037,C816586,Male,27,Toys,4,143.36,Cash,2021-07-03,Mall of Istanbul,573.44
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,2022-03-26,Viaport Outlet,650.56
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,2022-05-17,Cevahir AVM,573.44
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,2022-04-11,Kanyon,293.25
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,2021-10-22,Kanyon,130.75
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,2021-12-20,Istinye Park,1016.5
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,2022-03-17,Metropol AVM,300.08
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,2022-06-23,Metropol AVM,293.25
I288152,C269623,Female,30,Technology,3,3150.0,Debit Card,2021-06-19,Mall of Istanbul,9450.0
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,2022-08-30,Istinye Park,300.08
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,2021-11-20,Cevahir AVM,4801.28
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,2021-07-31,Viaport Outlet,20.92
I167993,C303493,Male,40,Toys,2,71.68,Cash,2022-02-20,Kanyon,143.36
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,2023-02-09,Emaar Square Mall,7502.0
I164597,C111766,Female,24,Clothing,1,300.08,Cash,2021-03-24,Mall of Istanbul,300.08
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,2022-08-25,Kanyon,5.23
I289905,C160005,Female,61,Cosmetics,4,162.64,Cash,2021-10-21,Kanyon,650.56
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,2022-05-28,Metrocity,20.92
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,2022-03-05,Zorlu Center,293.25
I257890,C259342,Female,59,Shoes,1,600.17,Cash,2021-10-05,Kanyon,600.17
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,2021-04-16,Metropol AVM,4801.28
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,2023-02-26,Metrocity,143.36
I624164,C102685,Female,26,Clothing,1,300.08,Cash,2021-03-20,Kanyon,300.08
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,2022-05-15,Metrocity,293.25
I278401,C162371,Female,53,Toys,1,35.84,Debit Card,2023-01-31,Mall of Istanbul,35.84
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,2021-10-02,Viaport Outlet,650.56
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,2022-08-03,Viaport Outlet,7502.0
I179048,C270129,Female,66,Technology,3,3150.0,Debit Card,2021-03-28,Cevahir AVM,9450.0
I165202,C617189,Female,56,Cosmetics,4,162.64,Cash,2022-11-21,Mall of Istanbul,650.56
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,2021-02-12,Metropol AVM,46.92
I417106,C292356,Male,28,Clothing,3,900.24,Cash,2021-04-03,Cevahir AVM,2700.7200000000003
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,2022-07-03,Metropol AVM,5.23
I112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,2021-02-14,Mall of Istanbul,83.68
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,2022-07-15,Viaport Outlet,650.56
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,2021-07-12,Viaport Outlet,4801.28
I334246,C311034,Female,23,Cosmetics,3,121.98,Cash,2022-05-19,Mall of Istanbul,365.94
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,2023-02-13,Metropol AVM,650.56
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,2022-11-27,Forum Istanbul,1016.5
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,2021-03-02,Viaport Outlet,47.07
I131054,C257990,Female,34,Toys,4,143.36,Cash,2021-10-16,Kanyon,573.44
I149521,C168348,Female,29,Clothing,2,600.16,Cash,2021-11-04,Kanyon,1200.32
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,2023-01-11,Mall of Istanbul,300.08
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,2022-06-08,Forum Istanbul,365.94
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,2021-05-24,Metrocity,4801.28
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,2021-01-18,Istinye Park,1016.5
I220863,C131497,Male,21,Books,4,60.6,Cash,2021-07-22,Mall of Istanbul,242.4
I530401,C526660,Female,32,Technology,2,2100.0,Cash,2022-09-25,Zorlu Center,4200.0
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,2021-09-10,Metrocity,2700.7200000000003
I316629,C204741,Female,41,Souvenir,3,35.19,Cash,2022-01-16,Cevahir AVM,105.57
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,2022-11-13,Kanyon,1016.5
I151099,C250395,Female,67,Souvenir,2,23.46,Credit Card,2021-03-14,Mall of Istanbul,46.92
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,2022-07-23,Istinye Park,365.94
I399563,C250673,Female,38,Toys,1,35.84,Cash,2021-06-24,Metropol AVM,35.84
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,2021-01-30,Kanyon,15004.25
I147727,C163033,Female,38,Books,1,15.15,Credit Card,2022-04-17,Kanyon,15.15
I504141,C558480,Female,56,Cosmetics,1,40.66,Credit Card,2023-02-23,Kanyon,40.66
I246151,C287409,Male,25,Books,3,45.45,Debit Card,2021-07-05,Metropol AVM,136.35000000000002
I164675,C993675,Male,66,Books,5,75.75,Cash,2021-08-31,Kanyon,378.75
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,2022-09-09,Viaport Outlet,46.92
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,2021-11-04,Mall of Istanbul,20.92
I151764,C671866,Female,53,Clothing,5,1500.4,Cash,2022-06-30,Kanyon,7502.0
I226172,C171154,Female,69,Shoes,1,600.17,Cash,2021-07-24,Kanyon,600.17
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,2022-04-15,Metropol AVM,7502.0
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,2021-09-25,Metropol AVM,20.92
I127733,C665777,Male,39,Books,5,75.75,Cash,2021-08-24,Kanyon,378.75
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,2021-01-26,Zorlu Center,15004.25
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,2022-02-05,Metropol AVM,162.64
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,2022-12-09,Forum Istanbul,47.07
I139520,C316398,Female,34,Clothing,5,1500.4,Cash,2021-02-14,Mall of Istanbul,7502.0
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,2022-07-17,Kanyon,5.23
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,2021-01-03,Metropol AVM,5401.53
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,2022-09-22,Metropol AVM,4801.28
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,2021-06-27,Kanyon,650.56
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,2023-02-03,Mall of Istanbul,650.56
I353272,C199311,Female,34,Clothing,1,300.08,Credit Card,2021-07-29,Istinye Park,300.08
I165687,C206501,Female,61,Clothing,3,900.24,Cash,2022-12-08,Metropol AVM,2700.7200000000003
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,2022-08-11,Mall of Istanbul,7502.0
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,2021-09-13,Metropol AVM,47.07
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,2022-05-27,Istinye Park,573.44
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,2022-12-07,Zorlu Center,4801.28
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,2022-01-05,Cevahir AVM,7502.0
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,2022-04-05,Kanyon,650.56
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,2022-01-10,Cevahir AVM,5.23
I402983,C372643,Male,27,Technology,1,1050.0,Debit Card,2022-01-30,Kanyon,1050.0
I155076,C195626,Female,22,Toys,5,179.2,Credit Card,2022-12-21,Kanyon,896.0
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,2021-02-24,Metropol AVM,4801.28
I218385,C290280,Female,51,Toys,1,35.84,Cash,2022-07-19,Metrocity,35.84
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,2023-01-15,Metropol AVM,300.08
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,2023-01-12,Kanyon,2400.68
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,2022-11-05,Kanyon,5401.53
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,2021-07-23,Metrocity,2400.68
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,2022-06-30,Metropol AVM,4801.28
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,2022-11-01,Emaar Square Mall,300.08
I762381,C243515,Male,63,Shoes,1,600.17,Cash,2022-10-27,Kanyon,600.17
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,2022-08-21,Kanyon,7502.0
I261290,C252598,Female,56,Clothing,3,900.24,Credit Card,2021-03-13,Cevahir AVM,2700.7200000000003
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,2022-08-04,Kanyon,162.64
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,2021-04-01,Mall of Istanbul,20.92
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,2021-08-08,Mall of Istanbul,9602.72
I173679,C555040,Male,27,Technology,3,3150.0,Credit Card,2021-06-28,Viaport Outlet,9450.0
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,2021-01-25,Emaar Square Mall,7502.0
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,2021-11-22,Metropol AVM,4801.28
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,2022-11-13,Viaport Outlet,365.94
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,2022-08-12,Kanyon,4801.28
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,2022-09-18,Metrocity,143.36
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,2021-06-08,Mall of Istanbul,4801.28
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,2021-08-30,Viaport Outlet,650.56
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,2022-06-19,Kanyon,322.56
I964173,C184126,Female,52,Clothing,3,900.24,Debit Card,2022-12-15,Emaar Square Mall,2700.7200000000003
I334389,C233642,Female,19,Cosmetics,2,81.32,Cash,2021-12-29,Mall of Istanbul,162.64
I251855,C258410,Female,68,Cosmetics,3,121.98,Credit Card,2022-06-19,Cevahir AVM,365.94
I985808,C270667,Male,22,Books,5,75.75,Cash,2021-06-16,Emaar Square Mall,378.75
I224565,C321527,Male,61,Shoes,1,600.17,Cash,2021-02-07,Emaar Square Mall,600.17
I239703,C109489,Male,23,Food & Beverage,3,15.69,Credit Card,2023-01-17,Kanyon,47.07
I156413,C103824,Male,34,Cosmetics,5,203.3,Debit Card,2022-01-20,Metrocity,1016.5
I158683,C126571,Female,33,Souvenir,2,23.46,Debit Card,2022-07-31,Metrocity,46.92
I983860,C169676,Female,60,Shoes,1,600.17,Credit Card,2021-09-30,Metropol AVM,600.17
I119809,C321889,Female,24,Food & Beverage,1,5.23,Debit Card,2022-04-06,Zorlu Center,5.23
I319942,C212128,Male,53,Cosmetics,5,203.3,Debit Card,2022-11-14,Mall of Istanbul,1016.5
I133278,C301271,Male,22,Clothing,3,900.24,Credit Card,2021-02-24,Metrocity,2700.7200000000003
I252084,C221995,Male,50,Souvenir,4,46.92,Cash,2021-05-25,Metrocity,187.68
I182889,C318802,Male,49,Clothing,2,600.16,Credit Card,2021-03-22,Metrocity,1200.32
I106271,C263812,Male,31,Clothing,1,300.08,Debit Card,2022-12-22,Mall of Istanbul,300.08
I112481,C321609,Male,29,Food & Beverage,5,26.15,Cash,2021-07-07,Cevahir AVM,130.75
I240751,C666013,Female,52,Food & Beverage,1,5.23,Credit Card,2021-09-18,Kanyon,5.23
I282789,C172185,Female,67,Cosmetics,2,81.32,Cash,2022-02-18,Istinye Park,162.64
I676291,C150463,Female,50,Food & Beverage,2,10.46,Cash,2021-06-13,Metropol AVM,20.92
I827069,C274529,Female,58,Toys,5,179.2,Cash,2021-05-30,Mall of Istanbul,896.0
I242823,C242659,Female,50,Clothing,4,1200.32,Debit Card,2021-03-26,Metropol AVM,4801.28
I208631,C194451,Female,68,Technology,2,2100.0,Credit Card,2022-07-27,Kanyon,4200.0
I139308,C252600,Female,59,Souvenir,2,23.46,Credit Card,2022-04-06,Emaar Square Mall,46.92
