invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
I638444,C229733,Male,57,Shoes,2,1200.34,Credit Card,2022-02-21,Metropol AVM,2400.68
I284431,C308978,Male,44,Technology,4,4200.0,Credit Card,2022-06-24,Metropol AVM,16800.0
I568785,C115148,Male,37,Food & Beverage,5,26.15,Cash,2021-08-23,Metropol AVM,130.75
I434161,C246484,Female,48,Clothing,2,600.16,Credit Card,2021-05-03,Metropol AVM,1200.32
I246114,C266394,Female,49,Toys,5,179.2,Credit Card,2022-09-22,Metropol AVM,896.0
I508173,C246364,Male,31,Cosmetics,3,121.98,Debit Card,2022-01-23,Metropol AVM,365.94
I159376,C190072,Female,65,Food & Beverage,2,10.46,Cash,2022-06-14,Metropol AVM,20.92
I214545,C111827,Male,40,Souvenir,4,46.92,Cash,2021-12-05,Metropol AVM,187.68
I733806,C310472,Female,51,Food & Beverage,4,20.92,Credit Card,2021-03-21,Metropol AVM,83.68
I126095,C197131,Male,23,Food & Beverage,5,26.15,Credit Card,2022-03-24,Metropol AVM,130.75
I254341,C703073,Female,43,Food & Beverage,2,10.46,Credit Card,2023-01-21,Metropol AVM,20.92
I725938,C191300,Male,26,Cosmetics,3,121.98,Debit Card,2022-10-16,Metropol AVM,365.94
I134272,C318225,Female,35,Toys,1,35.84,Debit Card,2022-12-01,Metropol AVM,35.84
I724379,C178176,Female,51,Clothing,1,300.08,Debit Card,2021-12-26,Metropol AVM,300.08
I234673,C245349,Male,69,Food & Beverage,4,20.92,Credit Card,2021-07-08,Metropol AVM,83.68
I907952,C241442,Female,54,Clothing,2,600.16,Credit Card,2022-08-07,Metropol AVM,1200.32
I742907,C186098,Male,62,Clothing,1,300.08,Cash,2021-09-22,Metropol AVM,300.08
I246390,C163444,Female,57,Clothing,4,1200.32,Cash,2022-06-03,Metropol AVM,4801.28
I330964,C217919,Female,65,Shoes,2,1200.34,Debit Card,2022-11-29,Metropol AVM,2400.68
I194268,C128618,Female,35,Souvenir,5,58.65,Cash,2023-02-26,Metropol AVM,293.25
I159355,C142508,Female,32,Food & Beverage,4,20.92,Debit Card,2021-11-28,Metropol AVM,83.68
I147079,C222949,Female,20,Clothing,4,1200.32,Credit Card,2022-05-01,Metropol AVM,4801.28
I293153,C269710,Female,62,Food & Beverage,2,10.46,Cash,2022-11-10,Metropol AVM,20.92
I326146,C554087,Male,51,Clothing,2,600.16,Cash,2021-07-01,Metropol AVM,1200.32
I454912,C251518,Female,56,Toys,2,71.68,Credit Card,2022-12-04,Metropol AVM,143.36
I176625,C247049,Female,54,Clothing,4,1200.32,Cash,2022-07-05,Metropol AVM,4801.28
I929854,C114606,Female,34,Shoes,1,600.17,Debit Card,2023-01-04,Metropol AVM,600.17
I278299,C183846,Female,34,Food & Beverage,3,15.69,Credit Card,2022-03-14,Metropol AVM,47.07
I583185,C172691,Female,68,Cosmetics,5,203.3,Credit Card,2021-08-25,Metropol AVM,1016.5
I528108,C131221,Male,24,Books,1,15.15,Debit Card,2022-10-16,Metropol AVM,15.15
I311797,C160680,Female,64,Food & Beverage,2,10.46,Credit Card,2022-03-31,Metropol AVM,20.92
I270096,C660491,Male,66,Food & Beverage,2,10.46,Credit Card,2022-05-03,Metropol AVM,20.92
I326712,C226996,Male,30,Clothing,2,600.16,Cash,2021-05-05,Metropol AVM,1200.32
I234223,C282899,Female,52,Cosmetics,4,162.64,Cash,2021-10-26,Metropol AVM,650.56
I249682,C183888,Female,64,Clothing,3,900.24,Cash,2022-08-03,Metropol AVM,2700.7200000000003
I198156,C149637,Female,52,Food & Beverage,4,20.92,Cash,2023-02-26,Metropol AVM,83.68
I528396,C130273,Female,63,Clothing,1,300.08,Debit Card,2022-11-21,Metropol AVM,300.08
I189797,C245539,Male,66,Clothing,3,900.24,Debit Card,2021-10-22,Metropol AVM,2700.7200000000003
I108662,C141093,Female,37,Cosmetics,3,121.98,Cash,2021-09-16,Metropol AVM,365.94
I443008,C299644,Female,43,Clothing,3,900.24,Credit Card,2021-08-30,Metropol AVM,2700.7200000000003
I307337,C322195,Male,54,Shoes,3,1800.51,Debit Card,2023-02-25,Metropol AVM,5401.53
I109018,C328169,Female,39,Toys,3,107.52,Credit Card,2021-07-09,Metropol AVM,322.56
I291281,C285797,Male,45,Technology,1,1050.0,Credit Card,2022-04-14,Metropol AVM,1050.0
I526871,C841591,Female,26,Food & Beverage,2,10.46,Credit Card,2021-04-12,Metropol AVM,20.92
I240283,C812425,Female,53,Shoes,4,2400.68,Cash,2023-01-10,Metropol AVM,9602.72
I203525,C335061,Female,37,Clothing,1,300.08,Cash,2022-09-08,Metropol AVM,300.08
I136489,C315999,Female,55,Clothing,2,600.16,Credit Card,2022-03-13,Metropol AVM,1200.32
I935474,C224881,Female,68,Cosmetics,2,81.32,Debit Card,2022-09-03,Metropol AVM,162.64
I187144,C774214,Female,40,Toys,1,35.84,Credit Card,2022-05-29,Metropol AVM,35.84
I116064,C103877,Female,41,Shoes,3,1800.51,Credit Card,2021-02-28,Metropol AVM,5401.53
I112841,C291389,Female,22,Clothing,2,600.16,Credit Card,2021-05-19,Metropol AVM,1200.32
I773945,C677850,Female,55,Cosmetics,4,162.64,Cash,2022-12-12,Metropol AVM,650.56
I467431,C724217,Female,50,Toys,3,107.52,Debit Card,2021-06-25,Metropol AVM,322.56
I273054,C148034,Male,43,Food & Beverage,5,26.15,Debit Card,2021-04-26,Metropol AVM,130.75
I190439,C145982,Female,32,Clothing,3,900.24,Credit Card,2022-06-24,Metropol AVM,2700.7200000000003
I740038,C213718,Male,34,Clothing,1,300.08,Debit Card,2022-12-14,Metropol AVM,300.08
I221786,C314993,Male,61,Clothing,4,1200.32,Credit Card,2021-04-15,Metropol AVM,4801.28
I286110,C281244,Male,60,Clothing,4,1200.32,Credit Card,2022-12-11,Metropol AVM,4801.28
I178412,C108007,Male,49,Shoes,5,3000.85,Debit Card,2022-11-23,Metropol AVM,15004.25
I216555,C287380,Female,41,Clothing,1,300.08,Debit Card,2021-05-15,Metropol AVM,300.08
I128275,C228922,Female,50,Clothing,2,600.16,Credit Card,2021-12-30,Metropol AVM,1200.32
I317066,C127551,Male,50,Clothing,1,300.08,Credit Card,2022-01-04,Metropol AVM,300.08
I907323,C794449,Male,28,Cosmetics,3,121.98,Cash,2021-09-06,Metropol AVM,365.94
I115471,C832397,Female,54,Clothing,5,1500.4,Credit Card,2021-11-06,Metropol AVM,7502.0
I120560,C291970,Male,37,Clothing,3,900.24,Cash,2022-12-28,Metropol AVM,2700.7200000000003
I146548,C205178,Male,30,Clothing,4,1200.32,Cash,2022-07-19,Metropol AVM,4801.28
I241628,C512698,Male,59,Cosmetics,3,121.98,Credit Card,2021-03-17,Metropol AVM,365.94
I225004,C195673,Female,41,Food & Beverage,3,15.69,Debit Card,2021-06-06,Metropol AVM,47.07
I295604,C327796,Female,39,Shoes,3,1800.51,Credit Card,2021-06-07,Metropol AVM,5401.53
I258797,C773181,Female,53,Souvenir,5,58.65,Cash,2022-08-14,Metropol AVM,293.25
I299140,C339114,Male,61,Shoes,5,3000.85,Cash,2022-06-28,Metropol AVM,15004.25
I488609,C210060,Female,56,Shoes,3,1800.51,Credit Card,2022-02-17,Metropol AVM,5401.53
I266960,C109885,Male,49,Souvenir,5,58.65,Cash,2022-05-10,Metropol AVM,293.25
I148485,C309367,Male,20,Food & Beverage,1,5.23,Cash,2021-02-15,Metropol AVM,5.23
I623959,C103461,Female,29,Cosmetics,2,81.32,Cash,2021-09-09,Metropol AVM,162.64
I222357,C249679,Male,47,Souvenir,1,11.73,Cash,2022-08-15,Metropol AVM,11.73
I300868,C311482,Male,61,Technology,3,3150.0,Cash,2021-01-28,Metropol AVM,9450.0
I236697,C162397,Male,36,Shoes,3,1800.51,Cash,2021-02-24,Metropol AVM,5401.53
I311659,C164577,Male,65,Food & Beverage,3,15.69,Debit Card,2022-07-19,Metropol AVM,47.07
I279882,C240837,Male,66,Cosmetics,5,203.3,Debit Card,2022-06-03,Metropol AVM,1016.5
I170036,C176312,Male,38,Souvenir,3,35.19,Cash,2021-08-17,Metropol AVM,105.57
I139920,C229001,Male,50,Food & Beverage,5,26.15,Credit Card,2022-09-27,Metropol AVM,130.75
I169319,C151752,Male,22,Books,4,60.6,Debit Card,2022-06-03,Metropol AVM,242.4
I271715,C271297,Female,49,Clothing,5,1500.4,Cash,2021-01-02,Metropol AVM,7502.0
I186496,C145650,Female,26,Cosmetics,4,162.64,Cash,2022-08-16,Metropol AVM,650.56
I328925,C271255,Male,68,Clothing,2,600.16,Credit Card,2022-06-08,Metropol AVM,1200.32
I392560,C892096,Male,24,Cosmetics,3,121.98,Cash,2023-02-22,Metropol AVM,365.94
I807995,C298103,Female,31,Food & Beverage,5,26.15,Cash,2022-06-22,Metropol AVM,130.75
I169599,C485668,Male,22,Toys,1,35.84,Credit Card,2021-09-28,Metropol AVM,35.84
I300350,C235773,Female,51,Souvenir,4,46.92,Debit Card,2021-03-02,Metropol AVM,187.68
I134212,C135306,Male,20,Clothing,4,1200.32,Credit Card,2021-09-11,Metropol AVM,4801.28
I221692,C295218,Female,58,Books,4,60.6,Credit Card,2021-10-16,Metropol AVM,242.4
I290172,C195405,Female,22,Clothing,4,1200.32,Credit Card,2021-11-06,Metropol AVM,4801.28
I259652,C304389,Female,27,Food & Beverage,5,26.15,Cash,2022-11-02,Metropol AVM,130.75
I155958,C184300,Male,51,Clothing,5,1500.4,Credit Card,2022-02-15,Metropol AVM,7502.0
I280717,C136014,Male,49,Cosmetics,1,40.66,Cash,2023-01-18,Metropol AVM,40.66
I716275,C894269,Female,69,Shoes,4,2400.68,Debit Card,2023-01-19,Metropol AVM,9602.72
I229152,C220098,Male,61,Toys,1,35.84,Debit Card,2021-03-25,Metropol AVM,35.84
I170434,C275432,Female,38,Cosmetics,2,81.32,Credit Card,2021-05-04,Metropol AVM,162.64
I284203,C123578,Male,28,Clothing,3,900.24,Debit Card,2021-06-13,Metropol AVM,2700.7200000000003
I297292,C330941,Male,66,Clothing,5,1500.4,Cash,2022-04-15,Metropol AVM,7502.0
I308674,C286611,Female,51,Clothing,5,1500.4,Credit Card,2022-04-04,Metropol AVM,7502.0
I255301,C306089,Female,43,Clothing,5,1500.4,Cash,2023-02-21,Metropol AVM,7502.0
I276989,C253346,Female,39,Technology,2,2100.0,Debit Card,2021-03-05,Metropol AVM,4200.0
I252825,C828471,Male,37,Clothing,5,1500.4,Credit Card,2022-03-20,Metropol AVM,7502.0
I255774,C248859,Male,18,Food & Beverage,1,5.23,Debit Card,2021-12-20,Metropol AVM,5.23
I789368,C199509,Male,22,Cosmetics,3,121.98,Cash,2021-10-05,Metropol AVM,365.94
I844405,C886153,Female,32,Clothing,2,600.16,Credit Card,2023-02-06,Metropol AVM,1200.32
I230848,C323917,Male,31,Food & Beverage,4,20.92,Cash,2022-01-05,Metropol AVM,83.68
I128667,C187422,Female,69,Clothing,2,600.16,Cash,2023-01-08,Metropol AVM,1200.32
I182752,C280881,Female,67,Cosmetics,3,121.98,Cash,2022-04-23,Metropol AVM,365.94
I170558,C211626,Male,22,Cosmetics,2,81.32,Cash,2021-02-13,Metropol AVM,162.64
I270441,C123618,Female,59,Clothing,1,300.08,Cash,2022-04-08,Metropol AVM,300.08
I210426,C207922,Male,46,Souvenir,4,46.92,Cash,2022-01-19,Metropol AVM,187.68
I807712,C315726,Female,37,Shoes,1,600.17,Cash,2021-09-01,Metropol AVM,600.17
I128638,C162398,Female,34,Food & Beverage,4,20.92,Cash,2021-11-27,Metropol AVM,83.68
I106470,C293605,Male,35,Toys,2,71.68,Cash,2021-07-18,Metropol AVM,143.36
I155694,C430931,Female,46,Cosmetics,3,121.98,Cash,2021-11-05,Metropol AVM,365.94
I260419,C327137,Male,38,Technology,4,4200.0,Credit Card,2022-08-15,Metropol AVM,16800.0
I253061,C205984,Male,58,Shoes,1,600.17,Credit Card,2021-05-25,Metropol AVM,600.17
I141939,C224857,Male,66,Food & Beverage,4,20.92,Cash,2022-03-17,Metropol AVM,83.68
I179672,C235663,Male,38,Food & Beverage,3,15.69,Cash,2021-11-21,Metropol AVM,47.07
I182523,C164988,Male,18,Cosmetics,2,81.32,Cash,2022-03-13,Metropol AVM,162.64
I182326,C205376,Male,64,Food & Beverage,1,5.23,Cash,2021-12-13,Metropol AVM,5.23
I327416,C322260,Male,42,Clothing,2,600.16,Credit Card,2022-08-02,Metropol AVM,1200.32
I262529,C475169,Male,31,Toys,4,143.36,Cash,2022-01-16,Metropol AVM,573.44
I257855,C330282,Male,55,Clothing,2,600.16,Debit Card,2021-11-25,Metropol AVM,1200.32
I654306,C239813,Male,57,Shoes,4,2400.68,Credit Card,2021-10-02,Metropol AVM,9602.72
I243264,C217948,Female,28,Shoes,1,600.17,Cash,2022-12-09,Metropol AVM,600.17
I267362,C144709,Female,23,Clothing,3,900.24,Credit Card,2021-04-17,Metropol AVM,2700.7200000000003
I780560,C604007,Female,33,Clothing,3,900.24,Cash,2022-04-30,Metropol AVM,2700.7200000000003
I225155,C267019,Female,55,Shoes,5,3000.85,Cash,2021-08-02,Metropol AVM,15004.25
I312066,C291860,Male,54,Food & Beverage,5,26.15,Credit Card,2022-12-24,Metropol AVM,130.75
I301321,C106775,Female,68,Clothing,5,1500.4,Credit Card,2022-09-14,Metropol AVM,7502.0
I237866,C297260,Male,31,Shoes,5,3000.85,Credit Card,2023-01-13,Metropol AVM,15004.25
I107609,C338577,Female,49,Food & Beverage,5,26.15,Credit Card,2022-07-31,Metropol AVM,130.75
I299720,C137138,Female,53,Clothing,2,600.16,Credit Card,2022-03-15,Metropol AVM,1200.32
I140282,C190639,Male,27,Clothing,5,1500.4,Cash,2022-10-21,Metropol AVM,7502.0
I325592,C305544,Female,57,Toys,5,179.2,Debit Card,2021-01-08,Metropol AVM,896.0
I572573,C205210,Female,60,Shoes,3,1800.51,Debit Card,2023-01-30,Metropol AVM,5401.53
I172235,C223291,Female,36,Clothing,4,1200.32,Credit Card,2021-11-07,Metropol AVM,4801.28
I320668,C737656,Male,31,Clothing,5,1500.4,Cash,2021-12-30,Metropol AVM,7502.0
I130056,C746891,Female,60,Shoes,1,600.17,Credit Card,2022-12-15,Metropol AVM,600.17
I726460,C964548,Female,49,Clothing,3,900.24,Cash,2021-02-04,Metropol AVM,2700.7200000000003
I134524,C251801,Male,38,Souvenir,4,46.92,Cash,2022-09-13,Metropol AVM,187.68
I123592,C709983,Male,60,Clothing,3,900.24,Cash,2021-06-26,Metropol AVM,2700.7200000000003
I325655,C163532,Male,46,Clothing,2,600.16,Cash,2021-06-04,Metropol AVM,1200.32
I268043,C986474,Male,59,Technology,5,5250.0,Credit Card,2021-10-06,Metropol AVM,26250.0
I212437,C241260,Female,49,Toys,2,71.68,Debit Card,2023-03-06,Metropol AVM,143.36
I241328,C727904,Female,32,Clothing,3,900.24,Credit Card,2022-08-12,Metropol AVM,2700.7200000000003
I339493,C245592,Male,30,Toys,2,71.68,Debit Card,2022-04-06,Metropol AVM,143.36
I683509,C280701,Male,26,Food & Beverage,3,15.69,Cash,2021-04-23,Metropol AVM,47.07
I595458,C177334,Female,64,Cosmetics,1,40.66,Credit Card,2022-06-17,Metropol AVM,40.66
I325631,C334663,Female,59,Cosmetics,3,121.98,Debit Card,2022-06-30,Metropol AVM,365.94
I130454,C155210,Male,18,Technology,1,1050.0,Cash,2023-01-09,Metropol AVM,1050.0
I577375,C333626,Female,60,Clothing,2,600.16,Cash,2022-08-27,Metropol AVM,1200.32
I678176,C268909,Female,46,Clothing,3,900.24,Debit Card,2021-11-08,Metropol AVM,2700.7200000000003
I563988,C139472,Female,54,Toys,1,35.84,Credit Card,2022-09-05,Metropol AVM,35.84
I320282,C192327,Male,52,Food & Beverage,4,20.92,Cash,2021-09-05,Metropol AVM,83.68
I140977,C256034,Female,32,Clothing,1,300.08,Cash,2022-11-10,Metropol AVM,300.08
I883324,C716806,Female,42,Clothing,3,900.24,Cash,2022-11-10,Metropol AVM,2700.7200000000003
I171490,C306369,Male,18,Souvenir,2,23.46,Debit Card,2022-06-04,Metropol AVM,46.92
I264140,C312018,Male,32,Toys,3,107.52,Debit Card,2021-02-18,Metropol AVM,322.56
I139556,C216057,Female,41,Souvenir,2,23.46,Credit Card,2022-09-07,Metropol AVM,46.92
I211985,C151392,Female,24,Shoes,3,1800.51,Credit Card,2022-03-31,Metropol AVM,5401.53
I109453,C226687,Female,47,Toys,1,35.84,Cash,2022-02-07,Metropol AVM,35.84
I302199,C188597,Female,40,Clothing,1,300.08,Credit Card,2021-06-26,Metropol AVM,300.08
I441644,C262170,Female,26,Clothing,2,600.16,Credit Card,2022-10-08,Metropol AVM,1200.32
I312040,C296423,Female,22,Souvenir,2,23.46,Cash,2021-03-24,Metropol AVM,46.92
I699353,C108003,Male,45,Toys,5,179.2,Cash,2022-12-31,Metropol AVM,896.0
I492378,C748665,Female,46,Shoes,1,600.17,Credit Card,2021-12-05,Metropol AVM,600.17
I274795,C314543,Male,29,Shoes,2,1200.34,Credit Card,2023-03-08,Metropol AVM,2400.68
I264838,C254216,Female,60,Souvenir,3,35.19,Cash,2022-09-15,Metropol AVM,105.57
I260871,C333346,Male,66,Technology,1,1050.0,Credit Card,2022-05-18,Metropol AVM,1050.0
I204700,C320681,Male,46,Toys,3,107.52,Cash,2021-11-04,Metropol AVM,322.56
I329454,C231121,Male,60,Souvenir,1,11.73,Debit Card,2022-04-14,Metropol AVM,11.73
I852985,C182753,Female,47,Food & Beverage,5,26.15,Debit Card,2021-04-19,Metropol AVM,130.75
I252397,C972398,Female,60,Cosmetics,2,81.32,Credit Card,2022-09-02,Metropol AVM,162.64
I177577,C333145,Male,36,Toys,3,107.52,Credit Card,2022-07-01,Metropol AVM,322.56
I277227,C274035,Female,67,Food & Beverage,4,20.92,Debit Card,2021-02-25,Metropol AVM,83.68
I620781,C807243,Female,26,Clothing,3,900.24,Cash,2022-11-25,Metropol AVM,2700.7200000000003
I222687,C286208,Female,52,Food & Beverage,3,15.69,Credit Card,2021-02-18,Metropol AVM,47.07
I109938,C407728,Female,67,Shoes,4,2400.68,Cash,2022-04-01,Metropol AVM,9602.72
I332867,C244768,Female,66,Books,1,15.15,Cash,2022-07-30,Metropol AVM,15.15
I151701,C920596,Male,49,Clothing,2,600.16,Debit Card,2022-03-31,Metropol AVM,1200.32
I210025,C335161,Female,63,Clothing,5,1500.4,Debit Card,2021-10-31,Metropol AVM,7502.0
I439007,C152077,Male,46,Cosmetics,1,40.66,Credit Card,2021-07-10,Metropol AVM,40.66
I314442,C851697,Female,39,Books,5,75.75,Credit Card,2023-01-04,Metropol AVM,378.75
I288981,C205857,Female,32,Cosmetics,5,203.3,Cash,2022-04-15,Metropol AVM,1016.5
I279029,C148354,Female,42,Souvenir,4,46.92,Credit Card,2022-03-18,Metropol AVM,187.68
I826044,C336073,Female,44,Toys,3,107.52,Cash,2021-07-14,Metropol AVM,322.56
I469098,C272944,Male,65,Shoes,4,2400.68,Debit Card,2022-10-24,Metropol AVM,9602.72
I141877,C110372,Male,34,Clothing,3,900.24,Debit Card,2022-11-18,Metropol AVM,2700.7200000000003
I712241,C136012,Male,69,Technology,4,4200.0,Credit Card,2022-12-31,Metropol AVM,16800.0
I143573,C296110,Female,57,Clothing,2,600.16,Cash,2021-10-11,Metropol AVM,1200.32
I935961,C753862,Female,24,Food & Beverage,4,20.92,Credit Card,2022-01-16,Metropol AVM,83.68
I135566,C306867,Male,68,Clothing,2,600.16,Cash,2023-02-24,Metropol AVM,1200.32
I193677,C763024,Female,45,Shoes,2,1200.34,Debit Card,2021-09-10,Metropol AVM,2400.68
I200329,C474668,Male,44,Shoes,4,2400.68,Cash,2022-09-02,Metropol AVM,9602.72
I178338,C326970,Male,57,Food & Beverage,4,20.92,Credit Card,2022-05-04,Metropol AVM,83.68
I802719,C288044,Female,27,Clothing,5,1500.4,Cash,2021-10-25,Metropol AVM,7502.0
I230897,C178926,Male,56,Shoes,5,3000.85,Credit Card,2022-06-02,Metropol AVM,15004.25
I336053,C170298,Female,69,Clothing,4,1200.32,Cash,2022-07-15,Metropol AVM,4801.28
I797307,C273092,Male,25,Cosmetics,1,40.66,Cash,2021-10-20,Metropol AVM,40.66
I240128,C964027,Male,63,Shoes,1,600.17,Cash,2021-10-22,Metropol AVM,600.17
I331526,C157463,Female,37,Souvenir,3,35.19,Credit Card,2022-12-11,Metropol AVM,105.57
I204170,C186435,Female,52,Clothing,3,900.24,Credit Card,2022-09-30,Metropol AVM,2700.7200000000003
I159057,C227706,Female,37,Books,3,45.45,Debit Card,2021-03-20,Metropol AVM,136.35000000000002
I237550,C169800,Male,64,Food & Beverage,4,20.92,Cash,2021-06-12,Metropol AVM,83.68
I685727,C251902,Male,24,Books,4,60.6,Credit Card,2022-07-14,Metropol AVM,242.4
I847315,C207762,Male,20,Shoes,4,2400.68,Debit Card,2021-04-08,Metropol AVM,9602.72
I252806,C524013,Female,31,Food & Beverage,2,10.46,Cash,2021-07-01,Metropol AVM,20.92
I786441,C151925,Female,18,Clothing,3,900.24,Credit Card,2023-01-12,Metropol AVM,2700.7200000000003
I245557,C218950,Male,42,Technology,4,4200.0,Credit Card,2021-11-17,Metropol AVM,16800.0
I139930,C163713,Male,61,Cosmetics,2,81.32,Cash,2021-10-12,Metropol AVM,162.64
I207711,C293739,Female,42,Clothing,3,900.24,Debit Card,2022-09-28,Metropol AVM,2700.7200000000003
I155920,C274642,Female,53,Cosmetics,4,162.64,Cash,2022-05-31,Metropol AVM,650.56
I143112,C285818,Male,69,Technology,2,2100.0,Credit Card,2022-07-08,Metropol AVM,4200.0
I145533,C121874,Female,32,Clothing,4,1200.32,Cash,2022-02-21,Metropol AVM,4801.28
I807370,C253885,Male,59,Cosmetics,2,81.32,Cash,2022-11-09,Metropol AVM,162.64
I333979,C866240,Female,57,Food & Beverage,3,15.69,Cash,2022-09-15,Metropol AVM,47.07
I231618,C273156,Male,40,Clothing,2,600.16,Credit Card,2021-11-07,Metropol AVM,1200.32
I235851,C119504,Female,32,Clothing,4,1200.32,Credit Card,2022-12-14,Metropol AVM,4801.28
I261435,C176985,Male,37,Clothing,2,600.16,Cash,2022-10-17,Metropol AVM,1200.32
I111017,C128201,Male,65,Clothing,2,600.16,Debit Card,2022-08-13,Metropol AVM,1200.32
I147737,C654510,Female,24,Technology,2,2100.0,Cash,2021-01-11,Metropol AVM,4200.0
I318435,C173218,Male,34,Shoes,4,2400.68,Debit Card,2021-12-24,Metropol AVM,9602.72
I245312,C329316,Female,37,Shoes,4,2400.68,Cash,2021-02-08,Metropol AVM,9602.72
I301864,C171010,Female,27,Food & Beverage,3,15.69,Cash,2022-06-05,Metropol AVM,47.07
I304505,C123660,Male,64,Toys,4,143.36,Cash,2022-09-19,Metropol AVM,573.44
I169002,C709549,Female,31,Shoes,5,3000.85,Cash,2022-02-17,Metropol AVM,15004.25
